geoid,name,state,lat,lon
01001,Autauga County,AL,32.5322,-86.6464
01003,Baldwin County,AL,30.6592,-87.7461
01005,Barbour County,AL,31.8703,-85.4051
01007,Bibb County,AL,33.0159,-87.1271
01009,Blount County,AL,33.9774,-86.5664
01011,Bullock County,AL,32.1018,-85.7173
01013,Butler County,AL,31.7517,-86.682
01015,Calhoun County,AL,33.7705,-85.8279
01017,Chambers County,AL,32.9155,-85.394
01019,Cherokee County,AL,34.0695,-85.6542
01021,Chilton County,AL,32.8541,-86.7266
01023,Choctaw County,AL,31.991,-88.2489
01025,Clarke County,AL,31.6855,-87.8186
01027,Clay County,AL,33.2704,-85.8635
01029,Cleburne County,AL,33.672,-85.5161
01031,Coffee County,AL,31.4023,-85.9896
01033,Colbert County,AL,34.7031,-87.8015
01035,Conecuh County,AL,31.4309,-86.9887
01037,Coosa County,AL,32.9314,-86.2435
01039,Covington County,AL,31.244,-86.4487
01041,Crenshaw County,AL,31.7303,-86.32
01043,Cullman County,AL,34.1319,-86.8693
01045,Dale County,AL,31.4307,-85.6095
01047,Dallas County,AL,32.3335,-87.1144
01049,DeKalb County,AL,34.4609,-85.804
01051,Elmore County,AL,32.5972,-86.1427
01053,Escambia County,AL,31.1223,-87.1684
01055,Etowah County,AL,34.0476,-86.0343
01057,Fayette County,AL,33.7162,-87.7643
01059,Franklin County,AL,34.442,-87.8428
01061,Geneva County,AL,31.0924,-85.821
01063,Greene County,AL,32.8445,-87.9642
01065,Hale County,AL,32.7528,-87.6231
01067,Henry County,AL,31.517,-85.24
01069,Houston County,AL,31.1582,-85.2964
01071,Jackson County,AL,34.7641,-85.9801
01073,Jefferson County,AL,33.5534,-86.8965
01075,Lamar County,AL,33.7871,-88.0874
01077,Lauderdale County,AL,34.9042,-87.6511
01079,Lawrence County,AL,34.5298,-87.3219
01081,Lee County,AL,32.6041,-85.353
01083,Limestone County,AL,34.8102,-86.9814
01085,Lowndes County,AL,32.1479,-86.6506
01087,Macon County,AL,32.387,-85.6929
01089,Madison County,AL,34.7642,-86.5511
01091,Marengo County,AL,32.2476,-87.7911
01093,Marion County,AL,34.1382,-87.8816
01095,Marshall County,AL,34.3096,-86.3217
01097,Mobile County,AL,30.6846,-88.1966
01099,Monroe County,AL,31.5804,-87.3833
01101,Montgomery County,AL,32.2029,-86.2045
01103,Morgan County,AL,34.4545,-86.8464
01105,Perry County,AL,32.639,-87.2938
01107,Pickens County,AL,33.2968,-88.0969
01109,Pike County,AL,31.7987,-85.9416
01111,Randolph County,AL,33.2965,-85.4641
01113,Russell County,AL,32.2898,-85.187
01115,St. Clair County,AL,33.7195,-86.3113
01117,Shelby County,AL,33.2669,-86.661
01119,Sumter County,AL,32.5975,-88.2001
01121,Talladega County,AL,33.3693,-86.1759
01123,Tallapoosa County,AL,32.8633,-85.7996
01125,Tuscaloosa County,AL,33.2902,-87.5228
01127,Walker County,AL,33.7916,-87.3011
01129,Washington County,AL,31.4085,-88.2124
01131,Wilcox County,AL,31.9901,-87.3049
01133,Winston County,AL,34.1546,-87.3653
04001,Apache County,AZ,35.3851,-109.4902
04003,Cochise County,AZ,31.8401,-109.7752
04005,Coconino County,AZ,35.8297,-111.7737
04007,Gila County,AZ,33.7896,-110.8119
04009,Graham County,AZ,32.9318,-109.8783
04011,Greenlee County,AZ,33.2389,-109.2423
04012,La Paz County,AZ,33.7276,-114.0388
04013,Maricopa County,AZ,33.3452,-112.4989
04015,Mohave County,AZ,35.7177,-113.7497
04017,Navajo County,AZ,35.3908,-110.321
04019,Pima County,AZ,32.128,-111.7837
04021,Pinal County,AZ,32.9185,-111.3663
04023,Santa Cruz County,AZ,31.5257,-110.8452
04025,Yavapai County,AZ,34.6311,-112.5772
04027,Yuma County,AZ,32.7739,-113.9109
05001,Arkansas County,AR,34.2896,-91.3765
05003,Ashley County,AR,33.1908,-91.7723
05005,Baxter County,AR,36.2803,-92.3299
05007,Benton County,AR,36.3378,-94.2563
05009,Boone County,AR,36.3043,-93.0792
05011,Bradley County,AR,33.4665,-92.1692
05013,Calhoun County,AR,33.5605,-92.5139
05015,Carroll County,AR,36.3374,-93.541
05017,Chicot County,AR,33.2671,-91.2972
05019,Clark County,AR,34.0533,-93.1762
05021,Clay County,AR,36.3673,-90.4187
05023,Cleburne County,AR,35.5936,-92.0089
05025,Cleveland County,AR,33.8932,-92.1887
05027,Columbia County,AR,33.223,-93.2328
05029,Conway County,AR,35.2657,-92.6892
05031,Craighead County,AR,35.8277,-90.6314
05033,Crawford County,AR,35.583,-94.2362
05035,Crittenden County,AR,35.1976,-90.3051
05037,Cross County,AR,35.2857,-90.764
05039,Dallas County,AR,33.9678,-92.654
05041,Desha County,AR,33.8288,-91.2441
05043,Drew County,AR,33.5872,-91.7228
05045,Faulkner County,AR,35.1465,-92.3369
05047,Franklin County,AR,35.5086,-93.8877
05049,Fulton County,AR,36.3813,-91.8193
05051,Garland County,AR,34.5789,-93.1469
05053,Grant County,AR,34.2856,-92.423
05055,Greene County,AR,36.1206,-90.5663
05057,Hempstead County,AR,33.736,-93.6644
05059,Hot Spring County,AR,34.3152,-92.9441
05061,Howard County,AR,34.0831,-93.9909
05063,Independence County,AR,35.7375,-91.5599
05065,Izard County,AR,36.0949,-91.9136
05067,Jackson County,AR,35.5965,-91.2232
05069,Jefferson County,AR,34.2772,-91.9297
05071,Johnson County,AR,35.5734,-93.4663
05073,Lafayette County,AR,33.2406,-93.6115
05075,Lawrence County,AR,36.0411,-91.1012
05077,Lee County,AR,34.7795,-90.7797
05079,Lincoln County,AR,33.9564,-91.7424
05081,Little River County,AR,33.7019,-94.2363
05083,Logan County,AR,35.2187,-93.7209
05085,Lonoke County,AR,34.7551,-91.8941
05087,Madison County,AR,36.0125,-93.7241
05089,Marion County,AR,36.2667,-92.6786
05091,Miller County,AR,33.3055,-93.9015
05093,Mississippi County,AR,35.7669,-90.0522
05095,Monroe County,AR,34.6795,-91.2033
05097,Montgomery County,AR,34.5457,-93.6642
05099,Nevada County,AR,33.6667,-93.3051
05101,Newton County,AR,35.9107,-93.2159
05103,Ouachita County,AR,33.5912,-92.8784
05105,Perry County,AR,34.9464,-92.9269
05107,Phillips County,AR,34.4237,-90.8556
05109,Pike County,AR,34.1582,-93.6587
05111,Poinsett County,AR,35.5689,-90.6811
05113,Polk County,AR,34.491,-94.2309
05115,Pope County,AR,35.4566,-93.0268
05117,Prairie County,AR,34.8311,-91.5536
05119,Pulaski County,AR,34.7703,-92.313
05121,Randolph County,AR,36.3413,-91.0284
05123,St. Francis County,AR,35.0228,-90.7515
05125,Saline County,AR,34.6485,-92.6745
05127,Scott County,AR,34.8589,-94.0636
05129,Searcy County,AR,35.8964,-92.6959
05131,Sebastian County,AR,35.197,-94.275
05133,Sevier County,AR,33.9949,-94.2433
05135,Sharp County,AR,36.1734,-91.4711
05137,Stone County,AR,35.857,-92.1405
05139,Union County,AR,33.1682,-92.5981
05141,Van Buren County,AR,35.583,-92.516
05143,Washington County,AR,35.978,-94.2173
05145,White County,AR,35.2551,-91.753
05147,Woodruff County,AR,35.1928,-91.2445
05149,Yell County,AR,34.9977,-93.4083
06001,Alameda County,CA,37.6471,-121.9125
06003,Alpine County,CA,38.6218,-119.7984
06005,Amador County,CA,38.4435,-120.6539
06007,Butte County,CA,39.6653,-121.6032
06009,Calaveras County,CA,38.1911,-120.5541
06011,Colusa County,CA,39.1777,-122.2376
06013,Contra Costa County,CA,37.9195,-121.9515
06015,Del Norte County,CA,41.7499,-123.981
06017,El Dorado County,CA,38.7856,-120.5342
06019,Fresno County,CA,36.761,-119.655
06021,Glenn County,CA,39.6025,-122.4017
06023,Humboldt County,CA,40.7067,-123.9262
06025,Imperial County,CA,33.0408,-115.3554
06027,Inyo County,CA,36.5622,-117.4042
06029,Kern County,CA,35.3466,-118.7295
06031,Kings County,CA,36.0725,-119.8155
06033,Lake County,CA,39.108,-122.7452
06035,Lassen County,CA,40.7153,-120.6212
06037,Los Angeles County,CA,34.1964,-118.2619
06039,Madera County,CA,37.2098,-119.7498
06041,Marin County,CA,38.0514,-122.7464
06043,Mariposa County,CA,37.5743,-119.9117
06045,Mendocino County,CA,39.4324,-123.4429
06047,Merced County,CA,37.1948,-120.7228
06049,Modoc County,CA,41.5929,-120.7184
06051,Mono County,CA,37.9158,-118.8752
06053,Monterey County,CA,36.2401,-121.3156
06055,Napa County,CA,38.5071,-122.3259
06057,Nevada County,CA,39.2975,-120.7713
06059,Orange County,CA,33.6757,-117.7772
06061,Placer County,CA,39.062,-120.7227
06063,Plumas County,CA,39.9923,-120.8244
06065,Riverside County,CA,33.7298,-116.0022
06067,Sacramento County,CA,38.4501,-121.3443
06069,San Benito County,CA,36.6117,-121.0858
06071,San Bernardino County,CA,34.8567,-116.1816
06073,San Diego County,CA,33.0236,-116.7761
06075,San Francisco County,CA,37.7272,-123.0322
06077,San Joaquin County,CA,37.935,-121.2722
06079,San Luis Obispo County,CA,35.3882,-120.4489
06081,San Mateo County,CA,37.4147,-122.3715
06083,Santa Barbara County,CA,34.5367,-120.0384
06085,Santa Clara County,CA,37.2216,-121.6895
06087,Santa Cruz County,CA,37.0123,-122.0078
06089,Shasta County,CA,40.7605,-122.0436
06091,Sierra County,CA,39.5769,-120.522
06093,Siskiyou County,CA,41.588,-122.5333
06095,Solano County,CA,38.2672,-121.9396
06097,Sonoma County,CA,38.5252,-122.9261
06099,Stanislaus County,CA,37.5623,-121.0028
06101,Sutter County,CA,39.0362,-121.7039
06103,Tehama County,CA,40.1262,-122.2323
06105,Trinity County,CA,40.6479,-123.1147
06107,Tulare County,CA,36.2288,-118.7811
06109,Tuolumne County,CA,38.0214,-119.9647
06111,Ventura County,CA,34.3587,-119.1331
06113,Yolo County,CA,38.6796,-121.9027
06115,Yuba County,CA,39.2701,-121.3443
08001,Adams County,CO,39.8743,-104.3319
08003,Alamosa County,CO,37.5684,-105.788
08005,Arapahoe County,CO,39.6446,-104.3317
08007,Archuleta County,CO,37.2024,-107.0509
08009,Baca County,CO,37.3098,-102.5437
08011,Bent County,CO,37.9319,-103.0776
08013,Boulder County,CO,40.095,-105.3977
08014,Broomfield County,CO,39.9536,-105.0508
08015,Chaffee County,CO,38.7346,-106.3
08017,Cheyenne County,CO,38.8356,-102.6018
08019,Clear Creek County,CO,39.6894,-105.6708
08021,Conejos County,CO,37.2134,-106.1764
08023,Costilla County,CO,37.2775,-105.4289
08025,Crowley County,CO,38.3062,-103.7727
08027,Custer County,CO,38.102,-105.3735
08029,Delta County,CO,38.8614,-107.865
08031,Denver County,CO,39.7619,-104.8811
08033,Dolores County,CO,37.7338,-108.5062
08035,Douglas County,CO,39.3254,-104.926
08037,Eagle County,CO,39.627,-106.6952
08039,Elbert County,CO,39.3152,-104.1141
08041,El Paso County,CO,38.8274,-104.5275
08043,Fremont County,CO,38.4552,-105.425
08045,Garfield County,CO,39.5994,-107.9098
08047,Gilpin County,CO,39.8612,-105.5289
08049,Grand County,CO,40.1131,-106.1108
08051,Gunnison County,CO,38.6705,-107.0569
08053,Hinsdale County,CO,37.8115,-107.384
08055,Huerfano County,CO,37.6878,-104.9599
08057,Jackson County,CO,40.6634,-106.3292
08059,Jefferson County,CO,39.5795,-105.2455
08061,Kiowa County,CO,38.3877,-102.7568
08063,Kit Carson County,CO,39.3053,-102.603
08065,Lake County,CO,39.2053,-106.3501
08067,La Plata County,CO,37.2874,-107.8397
08069,Larimer County,CO,40.6581,-105.4868
08071,Las Animas County,CO,37.3188,-104.0441
08073,Lincoln County,CO,38.9937,-103.5076
08075,Logan County,CO,40.7281,-103.0905
08077,Mesa County,CO,39.0195,-108.4606
08079,Mineral County,CO,37.5491,-107.0032
08081,Moffat County,CO,40.6109,-108.2172
08083,Montezuma County,CO,37.338,-108.5958
08085,Montrose County,CO,38.4075,-108.2663
08087,Morgan County,CO,40.2632,-103.8122
08089,Otero County,CO,37.8842,-103.7213
08091,Ouray County,CO,38.1547,-107.7885
08093,Park County,CO,39.1189,-105.7176
08095,Phillips County,CO,40.5947,-102.3451
08097,Pitkin County,CO,39.2175,-106.9162
08099,Prowers County,CO,37.9582,-102.3922
08101,Pueblo County,CO,38.1628,-104.4847
08103,Rio Blanco County,CO,39.9726,-108.2007
08105,Rio Grande County,CO,37.4859,-106.4531
